zone,week,year,Minimum Generation in MW,Maximum Generation in MW
RS00,26,1985,0,312.7056468085107
RS00,26,1986,0,312.7056468085107
RS00,26,1987,0,312.7056468085107
RS00,26,1988,0,312.7056468085107
RS00,26,1989,0,312.7056468085107
RS00,26,1990,0,312.7056468085107
RS00,26,1991,0,312.7056468085107
RS00,26,1992,0,312.7056468085107
RS00,26,1993,0,312.7056468085107
RS00,26,1994,0,312.7056468085107
RS00,26,1995,0,312.7056468085107
RS00,26,1996,0,312.7056468085107
RS00,26,1997,0,312.7056468085107
RS00,26,1998,0,312.7056468085107
RS00,26,1999,0,312.7056468085107
RS00,26,2000,0,312.7056468085107
RS00,26,2001,0,312.7056468085107
RS00,26,2002,0,312.7056468085107
RS00,26,2003,0,312.7056468085107
RS00,26,2004,0,312.7056468085107
RS00,26,2005,0,312.7056468085107
RS00,26,2006,0,312.7056468085107
RS00,26,2007,0,312.7056468085107
RS00,26,2008,0,312.7056468085107
RS00,26,2009,0,312.7056468085107
RS00,26,2010,0,312.7056468085107
RS00,26,2011,0,312.7056468085107
RS00,26,2012,0,312.7056468085107
RS00,26,2013,0,312.7056468085107
RS00,26,2014,0,312.7056468085107
RS00,26,2015,0,312.7056468085107
RS00,26,2016,0,312.7056468085107
RS00,26,2017,0,312.7056468085107
RS00,27,1982,0,309.1854617021277
RS00,27,1983,0,309.1854617021277
RS00,27,1984,0,309.1854617021277
RS00,27,1985,0,309.1854617021277
RS00,27,1986,0,309.1854617021277
RS00,27,1987,0,309.1854617021277
RS00,27,1988,0,309.1854617021277
RS00,27,1989,0,309.1854617021277
RS00,27,1990,0,309.1854617021277
RS00,27,1991,0,309.1854617021277
RS00,27,1992,0,309.1854617021277
RS00,27,1993,0,309.1854617021277
RS00,27,1994,0,309.1854617021277
RS00,27,1995,0,309.1854617021277
RS00,27,1996,0,309.1854617021277
RS00,27,1997,0,309.1854617021277
RS00,27,1998,0,309.1854617021277
RS00,27,1999,0,309.1854617021277
RS00,27,2000,0,309.1854617021277
RS00,27,2001,0,309.1854617021277
RS00,27,2002,0,309.1854617021277
RS00,27,2003,0,309.1854617021277
RS00,27,2004,0,309.1854617021277
RS00,27,2005,0,309.1854617021277
RS00,27,2006,0,309.1854617021277
RS00,27,2007,0,309.1854617021277
RS00,27,2008,0,309.1854617021277
RS00,27,2009,0,309.1854617021277
RS00,27,2010,0,309.1854617021277
RS00,27,2011,0,309.1854617021277
RS00,27,2012,0,309.1854617021277
RS00,27,2013,0,309.1854617021277
RS00,27,2014,0,309.1854617021277
RS00,27,2015,0,309.1854617021277
RS00,27,2016,0,309.1854617021277
RS00,27,2017,0,309.1854617021277
RS00,28,1982,0,310.7166574468085
RS00,28,1983,0,310.7166574468085
RS00,28,1984,0,310.7166574468085
RS00,28,1985,0,310.7166574468085
RS00,28,1986,0,310.7166574468085
RS00,28,1987,0,310.7166574468085
RS00,28,1988,0,310.7166574468085
RS00,28,1989,0,310.7166574468085
RS00,28,1990,0,310.7166574468085
RS00,28,1991,0,310.7166574468085
RS00,28,1992,0,310.7166574468085
RS00,28,1993,0,310.7166574468085
RS00,28,1994,0,310.7166574468085
RS00,28,1995,0,310.7166574468085
RS00,28,1996,0,310.7166574468085
RS00,28,1997,0,310.7166574468085
RS00,28,1998,0,310.7166574468085
RS00,28,1999,0,310.7166574468085
RS00,28,2000,0,310.7166574468085
RS00,28,2001,0,310.7166574468085
RS00,28,2002,0,310.7166574468085
RS00,28,2003,0,310.7166574468085
RS00,28,2004,0,310.7166574468085
RS00,28,2005,0,310.7166574468085
RS00,28,2006,0,310.7166574468085
RS00,28,2007,0,310.7166574468085
RS00,28,2008,0,310.7166574468085
RS00,28,2009,0,310.7166574468085
RS00,28,2010,0,310.7166574468085
RS00,28,2011,0,310.7166574468085
RS00,28,2012,0,310.7166574468085
RS00,28,2013,0,310.7166574468085
RS00,28,2014,0,310.7166574468085
RS00,28,2015,0,310.7166574468085
RS00,28,2016,0,310.7166574468085
RS00,28,2017,0,310.7166574468085
RS00,29,1982,0,310.7166574468085
RS00,29,1983,0,310.7166574468085
RS00,29,1984,0,310.7166574468085
RS00,29,1985,0,310.7166574468085
RS00,29,1986,0,310.7166574468085
RS00,29,1987,0,310.7166574468085
RS00,29,1988,0,310.7166574468085
RS00,29,1989,0,310.7166574468085
RS00,29,1990,0,310.7166574468085
RS00,29,1991,0,310.7166574468085
RS00,29,1992,0,310.7166574468085
RS00,29,1993,0,310.7166574468085
RS00,29,1994,0,310.7166574468085
RS00,29,1995,0,310.7166574468085
RS00,29,1996,0,310.7166574468085
RS00,29,1997,0,310.7166574468085
RS00,29,1998,0,310.7166574468085
RS00,29,1999,0,310.7166574468085
RS00,29,2000,0,310.7166574468085
RS00,29,2001,0,310.7166574468085
RS00,29,2002,0,310.7166574468085
RS00,29,2003,0,310.7166574468085
RS00,29,2004,0,310.7166574468085
RS00,29,2005,0,310.7166574468085
RS00,29,2006,0,310.7166574468085
RS00,29,2007,0,310.7166574468085
RS00,29,2008,0,310.7166574468085
RS00,29,2009,0,310.7166574468085
RS00,29,2010,0,310.7166574468085
RS00,29,2011,0,310.7166574468085
RS00,29,2012,0,310.7166574468085
RS00,29,2013,0,310.7166574468085
RS00,29,2014,0,310.7166574468085
RS00,29,2015,0,310.7166574468085
RS00,29,2016,0,310.7166574468085
RS00,29,2017,0,310.7166574468085
RS00,30,1982,0,333.9337063829787
RS00,30,1983,0,333.9337063829787
RS00,30,1984,0,333.9337063829787
RS00,30,1985,0,333.9337063829787
RS00,30,1986,0,333.9337063829787
RS00,30,1987,0,333.9337063829787
RS00,30,1988,0,333.9337063829787
RS00,30,1989,0,333.9337063829787
RS00,30,1990,0,333.9337063829787
RS00,30,1991,0,333.9337063829787
RS00,30,1992,0,333.9337063829787
RS00,30,1993,0,333.9337063829787
RS00,30,1994,0,333.9337063829787
RS00,30,1995,0,333.9337063829787
RS00,30,1996,0,333.9337063829787
RS00,30,1997,0,333.9337063829787
RS00,30,1998,0,333.9337063829787
RS00,30,1999,0,333.9337063829787
RS00,30,2000,0,333.9337063829787
RS00,30,2001,0,333.9337063829787
RS00,30,2002,0,333.9337063829787
RS00,30,2003,0,333.9337063829787
RS00,30,2004,0,333.9337063829787
RS00,30,2005,0,333.9337063829787
RS00,30,2006,0,333.9337063829787
RS00,30,2007,0,333.9337063829787
RS00,30,2008,0,333.9337063829787
RS00,30,2009,0,333.9337063829787
RS00,30,2010,0,333.9337063829787
RS00,30,2011,0,333.9337063829787
RS00,30,2012,0,333.9337063829787
RS00,30,2013,0,333.9337063829787
RS00,30,2014,0,333.9337063829787
RS00,30,2015,0,333.9337063829787
RS00,30,2016,0,333.9337063829787
RS00,30,2017,0,333.9337063829787
RS00,31,1982,0,336.5774319148936
RS00,31,1983,0,336.5774319148936
RS00,31,1984,0,336.5774319148936
RS00,31,1985,0,336.5774319148936
RS00,31,1986,0,336.5774319148936
RS00,31,1987,0,336.5774319148936
RS00,31,1988,0,336.5774319148936
RS00,31,1989,0,336.5774319148936
RS00,31,1990,0,336.5774319148936
RS00,31,1991,0,336.5774319148936
RS00,31,1992,0,336.5774319148936
RS00,31,1993,0,336.5774319148936
RS00,31,1994,0,336.5774319148936
RS00,31,1995,0,336.5774319148936
RS00,31,1996,0,336.5774319148936
RS00,31,1997,0,336.5774319148936
RS00,31,1998,0,336.5774319148936
RS00,31,1999,0,336.5774319148936
RS00,31,2000,0,336.5774319148936
RS00,31,2001,0,336.5774319148936
RS00,31,2002,0,336.5774319148936
RS00,31,2003,0,336.5774319148936
RS00,31,2004,0,336.5774319148936
RS00,31,2005,0,336.5774319148936
RS00,31,2006,0,336.5774319148936
RS00,31,2007,0,336.5774319148936
