zone,week,year,Cumulated inflow into reservoirs per week in GWh,Cumulated NATURAL inflow into the pump-storage reservoirs per week in GWh
AL00,5,1989,102.631902738339,0
AL00,5,1990,136.101213682415,0
AL00,5,1991,79.4833303668679,0
AL00,5,1992,90.2359376343396,0
AL00,5,1993,113.930244318566,0
AL00,5,1994,139.455633236377,0
AL00,5,1995,159.89297292249,0
AL00,5,1996,112.994699782415,0
AL00,5,1997,128.649683517283,0
AL00,5,1998,155.225508405509,0
AL00,5,1999,137.980509285735,0
AL00,5,2000,152.213711521584,0
AL00,5,2001,300.837065722415,0
AL00,5,2002,146.545050220301,0
AL00,5,2003,259.962386350188,0
AL00,5,2004,213.956573458415,0
AL00,5,2005,173.509659515547,0
AL00,5,2006,118.091981361509,0
AL00,5,2007,99.3174900230943,0
AL00,5,2008,105.023080713962,0
AL00,5,2009,156.443152445434,0
AL00,5,2010,155.444007293886,0
AL00,5,2011,124.433578206339,0
AL00,5,2012,110.13062045683,0
AL00,5,2013,168.73961336083,0
AL00,5,2014,91.9469993517736,0
AL00,5,2015,97.6351511642264,0
AL00,5,2016,177.748332786792,0
AL00,5,2017,129.453923557132,0
AL00,6,1982,121.976747982566,0
AL00,6,1983,118.046845440905,0
AL00,6,1984,190.554624441735,0
AL00,6,1985,146.35527419049,0
AL00,6,1986,219.959650898717,0
AL00,6,1987,112.804923752603,0
AL00,6,1988,112.152504536603,0
AL00,6,1989,99.0712940925283,0
AL00,6,1990,99.7052486137358,0
AL00,6,1991,125.131133342943,0
AL00,6,1992,94.8049237790943,0
AL00,6,1993,106.21610516083,0
AL00,6,1994,119.33834826,0
AL00,6,1995,103.753120038792,0
AL00,6,1996,151.770558846566,0
AL00,6,1997,124.466404330415,0
AL00,6,1998,230.473242950264,0
AL00,6,1999,142.627457475169,0
AL00,6,2000,162.964267156301,0
AL00,6,2001,155.565053626415,0
AL00,6,2002,154.194562946264,0
AL00,6,2003,187.198153255018,0
AL00,6,2004,209.072661685811,0
AL00,6,2005,135.967857553358,0
AL00,6,2006,124.601812092226,0
AL00,6,2007,167.730210045509,0
AL00,6,2008,228.197982225283,0
AL00,6,2009,210.207214599169,0
AL00,6,2010,172.597708756075,0
AL00,6,2011,138.118994496679,0
AL00,6,2012,77.8533081432453,0
AL00,6,2013,177.25594092566,0
AL00,6,2014,105.268250828151,0
AL00,6,2015,91.6197639273962,0
AL00,6,2016,146.084458666867,0
AL00,6,2017,121.480252855924,0
AL00,7,1982,120.517011277584,0
AL00,7,1983,133.635151111245,0
AL00,7,1984,171.971960765886,0
AL00,7,1985,81.1348947344151,0
AL00,7,1986,208.307402668301,0
AL00,7,1987,126.182595129735,0
AL00,7,1988,155.459394539547,0
AL00,7,1989,97.9808512833962,0
AL00,7,1990,101.524021050792,0
AL00,7,1991,216.649341448981,0
AL00,7,1992,124.035561451924,0
AL00,7,1993,104.253718430943,0
AL00,7,1994,120.040006662113,0
AL00,7,1995,81.7011453747169,0
AL00,7,1996,196.134039718188,0
AL00,7,1997,125.598905611018,0
AL00,7,1998,130.929047507773,0
AL00,7,1999,231.520601471547,0
AL00,7,2000,138.415455429735,0
AL00,7,2001,100.430500792528,0
AL00,7,2002,124.154556151698,0
AL00,7,2003,160.511540198037,0
AL00,7,2004,202.17609818083,0
AL00,7,2005,113.621473588981,0
AL00,7,2006,145.370490468226,0
AL00,7,2007,229.276115237886,0
AL00,7,2008,118.703367922415,0
AL00,7,2009,181.055564787396,0
AL00,7,2010,184.482817304151,0
AL00,7,2011,129.171824053358,0
AL00,7,2012,91.2340569695094,0
AL00,7,2013,140.965634943849,0
AL00,7,2014,101.756881368452,0
AL00,7,2015,188.222943816,0
AL00,7,2016,151.618738022717,0
AL00,7,2017,103.868011473056,0
AL00,8,1982,129.951444500151,0
AL00,8,1983,135.226192312528,0
AL00,8,1984,183.195417750566,0
AL00,8,1985,128.149085125132,0
AL00,8,1986,274.227388893735,0
AL00,8,1987,82.9075054344905,0
AL00,8,1988,135.953496124075,0
AL00,8,1989,97.2802186976603,0
AL00,8,1990,90.4123780512453,0
AL00,8,1991,171.020003167698,0
AL00,8,1992,228.732432557886,0
AL00,8,1993,99.5452212588679,0
AL00,8,1994,97.6187381021887,0
AL00,8,1995,101.514788703396,0
AL00,8,1996,197.791758984,0
AL00,8,1997,147.678577317283,0
AL00,8,1998,91.5284662698113,0
AL00,8,1999,166.279705687924,0
AL00,8,2000,70.0017095909434,0
AL00,8,2001,91.6064283144905,0
AL00,8,2002,65.9117796944151,0
AL00,8,2003,151.607454042566,0
AL00,8,2004,155.250127998566,0
AL00,8,2005,332.044451554415,0
AL00,8,2006,157.937766907245,0
AL00,8,2007,178.632586504075,0
AL00,8,2008,102.377500276754,0
AL00,8,2009,179.752777988151,0
AL00,8,2010,189.503162654943,0
AL00,8,2011,109.810565747094,0
AL00,8,2012,103.501795026339,0
AL00,8,2013,131.815352857811,0
AL00,8,2014,88.3289449888302,0
AL00,8,2015,197.904598785509,0
AL00,8,2016,192.446229841584,0
AL00,8,2017,98.0721489409811,0
AL00,9,1982,151.478201179018,0
AL00,9,1983,142.962899430566,0
AL00,9,1984,179.392716439698,0
AL00,9,1985,128.971789859773,0
AL00,9,1986,183.130791318792,0
AL00,9,1987,152.625063888905,0
AL00,9,1988,144.700632373811,0
AL00,9,1989,89.4881174952453,0
AL00,9,1990,61.7756880609056,0
AL00,9,1991,116.45272679049,0
AL00,9,1992,138.084116739849,0
AL00,9,1993,84.9570865564528,0
AL00,9,1994,80.236279587849,0
AL00,9,1995,79.8782696721509,0
AL00,9,1996,174.090271585132,0
AL00,9,1997,135.529833960226,0
AL00,9,1998,84.9622156383396,0
AL00,9,1999,192.013335330339,0
AL00,9,2000,121.704906642566,0
AL00,9,2001,160.03658721532,0
AL00,9,2002,89.5455632123773,0
AL00,9,2003,134.377842168452,0
AL00,9,2004,235.613608817207,0
AL00,9,2005,346.318686445358,0
AL00,9,2006,108.625747831245,0
AL00,9,2007,225.751410165283,0
AL00,9,2008,88.5597536737358,0
AL00,9,2009,118.37510668166,0
AL00,9,2010,178.891092231169,0
AL00,9,2011,116.498888527471,0
AL00,9,2012,81.2908188237736,0
AL00,9,2013,116.522482304151,0
AL00,9,2014,101.614292892,0
AL00,9,2015,178.647973749735,0
AL00,9,2016,193.352025702792,0
AL00,9,2017,112.958796209207,0
AL00,10,1982,140.041374387849,0
AL00,10,1983,136.029406536,0
AL00,10,1984,139.308941494415,0
AL00,10,1985,144.584715123169,0
AL00,10,1986,160.390493865509,0
AL00,10,1987,172.400752011622,0
AL00,10,1988,175.465891347169,0
AL00,10,1989,109.123268774264,0
AL00,10,1990,83.0162419704905,0
AL00,10,1991,186.557018019169,0
