zone,week,year,Cumulated inflow into reservoirs per week in GWh,Cumulated NATURAL inflow into the pump-storage reservoirs per week in GWh
AL00,5,1999,137.9805093,0
AL00,5,2000,152.2137115,0
AL00,5,2001,300.8370657,0
AL00,5,2002,146.5450502,0
AL00,5,2003,259.9623864,0
AL00,5,2004,213.9565735,0
AL00,5,2005,173.5096595,0
AL00,5,2006,118.0919814,0
AL00,5,2007,99.31749002,0
AL00,5,2008,105.0230807,0
AL00,5,2009,156.4431524,0
AL00,5,2010,155.4440073,0
AL00,5,2011,124.4335782,0
AL00,5,2012,110.1306205,0
AL00,5,2013,168.7396134,0
AL00,5,2014,91.94699935,0
AL00,5,2015,97.63515116,0
AL00,5,2016,177.7483328,0
AL00,5,2017,129.4539236,0
AL00,6,1982,121.976748,0
AL00,6,1983,118.0468454,0
AL00,6,1984,190.5546244,0
AL00,6,1985,146.3552742,0
AL00,6,1986,219.9596509,0
AL00,6,1987,112.8049238,0
AL00,6,1988,112.1525045,0
AL00,6,1989,99.07129409,0
AL00,6,1990,99.70524861,0
AL00,6,1991,125.1311333,0
AL00,6,1992,94.80492378,0
AL00,6,1993,106.2161052,0
AL00,6,1994,119.3383483,0
AL00,6,1995,103.75312,0
AL00,6,1996,151.7705588,0
AL00,6,1997,124.4664043,0
AL00,6,1998,230.473243,0
AL00,6,1999,142.6274575,0
AL00,6,2000,162.9642672,0
AL00,6,2001,155.5650536,0
AL00,6,2002,154.1945629,0
AL00,6,2003,187.1981533,0
AL00,6,2004,209.0726617,0
AL00,6,2005,135.9678576,0
AL00,6,2006,124.6018121,0
AL00,6,2007,167.73021,0
AL00,6,2008,228.1979822,0
AL00,6,2009,210.2072146,0
AL00,6,2010,172.5977088,0
AL00,6,2011,138.1189945,0
AL00,6,2012,77.85330814,0
AL00,6,2013,177.2559409,0
AL00,6,2014,105.2682508,0
AL00,6,2015,91.61976393,0
AL00,6,2016,146.0844587,0
AL00,6,2017,121.4802529,0
AL00,7,1982,120.5170113,0
AL00,7,1983,133.6351511,0
AL00,7,1984,171.9719608,0
AL00,7,1985,81.13489473,0
AL00,7,1986,208.3074027,0
AL00,7,1987,126.1825951,0
AL00,7,1988,155.4593945,0
AL00,7,1989,97.98085128,0
AL00,7,1990,101.5240211,0
AL00,7,1991,216.6493414,0
AL00,7,1992,124.0355615,0
AL00,7,1993,104.2537184,0
AL00,7,1994,120.0400067,0
AL00,7,1995,81.70114537,0
AL00,7,1996,196.1340397,0
AL00,7,1997,125.5989056,0
AL00,7,1998,130.9290475,0
AL00,7,1999,231.5206015,0
AL00,7,2000,138.4154554,0
AL00,7,2001,100.4305008,0
AL00,7,2002,124.1545562,0
AL00,7,2003,160.5115402,0
AL00,7,2004,202.1760982,0
AL00,7,2005,113.6214736,0
AL00,7,2006,145.3704905,0
AL00,7,2007,229.2761152,0
AL00,7,2008,118.7033679,0
AL00,7,2009,181.0555648,0
AL00,7,2010,184.4828173,0
AL00,7,2011,129.1718241,0
AL00,7,2012,91.23405697,0
AL00,7,2013,140.9656349,0
AL00,7,2014,101.7568814,0
AL00,7,2015,188.2229438,0
AL00,7,2016,151.618738,0
AL00,7,2017,103.8680115,0
AL00,8,1982,129.9514445,0
AL00,8,1983,135.2261923,0
AL00,8,1984,183.1954178,0
AL00,8,1985,128.1490851,0
AL00,8,1986,274.2273889,0
AL00,8,1987,82.90750543,0
AL00,8,1988,135.9534961,0
AL00,8,1989,97.2802187,0
AL00,8,1990,90.41237805,0
AL00,8,1991,171.0200032,0
AL00,8,1992,228.7324326,0
AL00,8,1993,99.54522126,0
AL00,8,1994,97.6187381,0
AL00,8,1995,101.5147887,0
AL00,8,1996,197.791759,0
AL00,8,1997,147.6785773,0
AL00,8,1998,91.52846627,0
AL00,8,1999,166.2797057,0
AL00,8,2000,70.00170959,0
AL00,8,2001,91.60642831,0
AL00,8,2002,65.91177969,0
AL00,8,2003,151.607454,0
AL00,8,2004,155.250128,0
AL00,8,2005,332.0444516,0
AL00,8,2006,157.9377669,0
AL00,8,2007,178.6325865,0
AL00,8,2008,102.3775003,0
AL00,8,2009,179.752778,0
AL00,8,2010,189.5031627,0
AL00,8,2011,109.8105657,0
AL00,8,2012,103.501795,0
AL00,8,2013,131.8153529,0
AL00,8,2014,88.32894499,0
AL00,8,2015,197.9045988,0
AL00,8,2016,192.4462298,0
AL00,8,2017,98.07214894,0
AL00,9,1982,151.4782012,0
AL00,9,1983,142.9628994,0
AL00,9,1984,179.3927164,0
AL00,9,1985,128.9717899,0
AL00,9,1986,183.1307913,0
AL00,9,1987,152.6250639,0
AL00,9,1988,144.7006324,0
AL00,9,1989,89.4881175,0
AL00,9,1990,61.77568806,0
AL00,9,1991,116.4527268,0
AL00,9,1992,138.0841167,0
AL00,9,1993,84.95708656,0
AL00,9,1994,80.23627959,0
AL00,9,1995,79.87826967,0
AL00,9,1996,174.0902716,0
AL00,9,1997,135.529834,0
AL00,9,1998,84.96221564,0
AL00,9,1999,192.0133353,0
AL00,9,2000,121.7049066,0
AL00,9,2001,160.0365872,0
AL00,9,2002,89.54556321,0
AL00,9,2003,134.3778422,0
AL00,9,2004,235.6136088,0
AL00,9,2005,346.3186864,0
AL00,9,2006,108.6257478,0
AL00,9,2007,225.7514102,0
AL00,9,2008,88.55975367,0
AL00,9,2009,118.3751067,0
AL00,9,2010,178.8910922,0
AL00,9,2011,116.4988885,0
AL00,9,2012,81.29081882,0
AL00,9,2013,116.5224823,0
AL00,9,2014,101.6142929,0
AL00,9,2015,178.6479737,0
AL00,9,2016,193.3520257,0
AL00,9,2017,112.9587962,0
AL00,10,1982,140.0413744,0
AL00,10,1983,136.0294065,0
AL00,10,1984,139.3089415,0
AL00,10,1985,144.5847151,0
AL00,10,1986,160.3904939,0
AL00,10,1987,172.400752,0
AL00,10,1988,175.4658913,0
AL00,10,1989,109.1232688,0
AL00,10,1990,83.01624197,0
AL00,10,1991,186.557018,0
AL00,10,1992,133.5459051,0
AL00,10,1993,175.49564,0
AL00,10,1994,143.8994698,0
AL00,10,1995,156.8380918,0
AL00,10,1996,133.5325695,0
AL00,10,1997,127.4299878,0
AL00,10,1998,81.45700108,0
AL00,10,1999,126.0564197,0
AL00,10,2000,81.13181729,0
AL00,10,2001,127.367413,0
AL00,10,2002,91.44537514,0
AL00,10,2003,157.892631,0
AL00,10,2004,264.4103262,0
AL00,10,2005,268.333048,0
AL00,10,2006,188.4137457,0
AL00,10,2007,85.9931611,0
AL00,10,2008,147.6262607,0
AL00,10,2009,152.1737047,0
AL00,10,2010,189.4375104,0
AL00,10,2011,147.7750041,0
AL00,10,2012,69.49803375,0
AL00,10,2013,176.0762521,0
AL00,10,2014,105.4426396,0
AL00,10,2015,107.4522139,0
AL00,10,2016,193.6495125,0
AL00,10,2017,109.5941185,0
AL00,11,1982,183.747307,0
AL00,11,1983,134.0495809,0
AL00,11,1984,116.9830739,0
AL00,11,1985,164.5932636,0
AL00,11,1986,163.9049408,0
AL00,11,1987,115.0278678,0
AL00,11,1988,132.6811419,0
AL00,11,1989,101.2685928,0
AL00,11,1990,81.30005117,0
AL00,11,1991,192.0830908,0
AL00,11,1992,114.6708837,0
AL00,11,1993,129.5329114,0
AL00,11,1994,149.1065137,0
AL00,11,1995,144.9919642,0
AL00,11,1996,165.1061718,0
AL00,11,1997,124.9157119,0
AL00,11,1998,130.2981704,0
AL00,11,1999,160.3299707,0
AL00,11,2000,105.3698066,0
AL00,11,2001,69.28158649,0
AL00,11,2002,100.4017779,0
AL00,11,2003,122.043426,0
AL00,11,2004,277.992135,0
AL00,11,2005,241.9336635,0
AL00,11,2006,284.9779445,0
AL00,11,2007,77.47170445,0
AL00,11,2008,209.1475463,0
AL00,11,2009,141.2846638,0
AL00,11,2010,220.8469821,0
AL00,11,2011,129.1277139,0
AL00,11,2012,145.5971959,0
AL00,11,2013,146.1018975,0
AL00,11,2014,101.0070096,0
AL00,11,2015,173.5763376,0
AL00,11,2016,180.869892,0
AL00,11,2017,107.7127713,0
AL00,12,1982,151.479227,0
AL00,12,1983,121.5151306,0
AL00,12,1984,167.1198493,0
AL00,12,1985,227.1721658,0
AL00,12,1986,216.4257135,0
AL00,12,1987,145.9890577,0
AL00,12,1988,95.74970066,0
AL00,12,1989,91.99726435,0
AL00,12,1990,70.57924421,0
AL00,12,1991,99.42212329,0
AL00,12,1992,118.1463496,0
AL00,12,1993,162.1487431,0
AL00,12,1994,81.06103596,0
AL00,12,1995,140.7748331,0
AL00,12,1996,190.2550861,0
AL00,12,1997,84.28209938,0
AL00,12,1998,129.2467086,0
AL00,12,1999,176.1972984,0
AL00,12,2000,90.85245328,0
AL00,12,2001,93.40365861,0
AL00,12,2002,90.00307732,0
AL00,12,2003,124.1884081,0
AL00,12,2004,229.2504698,0
AL00,12,2005,130.4140877,0
AL00,12,2006,221.5927506,0
AL00,12,2007,216.9211828,0
AL00,12,2008,154.9475122,0
AL00,12,2009,177.300051,0
AL00,12,2010,218.4445201,0
AL00,12,2011,96.84937582,0
AL00,12,2012,58.11249778,0
AL00,12,2013,179.9897416,0
AL00,12,2014,67.43614283,0
AL00,12,2015,208.7792782,0
AL00,12,2016,194.813814,0
AL00,12,2017,103.6936227,0
AL00,13,1982,153.5144467,0
AL00,13,1983,69.27235415,0
AL00,13,1984,173.4994014,0
AL00,13,1985,161.6399382,0
AL00,13,1986,162.8945116,0
AL00,13,1987,201.3636516,0
AL00,13,1988,96.93554439,0
AL00,13,1989,112.267396,0
AL00,13,1990,71.94460581,0
AL00,13,1991,98.35937753,0
AL00,13,1992,69.48162069,0
AL00,13,1993,226.0848005,0
AL00,13,1994,121.9911094,0
AL00,13,1995,110.0475293,0
AL00,13,1996,135.6047186,0
AL00,13,1997,75.59856375,0
AL00,13,1998,118.4417847,0
AL00,13,1999,201.0589841,0
AL00,13,2000,143.6604546,0
AL00,13,2001,84.53650184,0
AL00,13,2002,84.98273197,0
AL00,13,2003,195.7196099,0
AL00,13,2004,349.5643695,0
AL00,13,2005,163.5366727,0
AL00,13,2006,203.9846125,0
AL00,13,2007,196.3904938,0
AL00,13,2008,272.103949,0
AL00,13,2009,187.7367069,0
AL00,13,2010,193.6259187,0
AL00,13,2011,98.05265843,0
AL00,13,2012,141.7267907,0
AL00,13,2013,200.875363,0
AL00,13,2014,66.19285338,0
AL00,13,2015,178.8408272,0
AL00,13,2016,174.3005639,0
AL00,13,2017,106.0806974,0
AL00,14,1982,113.8861342,0
AL00,14,1983,118.6592578,0
AL00,14,1984,180.869892,0
AL00,14,1985,186.305693,0
AL00,14,1986,195.9719607,0
AL00,14,1987,199.9131473,0
AL00,14,1988,151.5848861,0
AL00,14,1989,90.77449123,0
AL00,14,1990,81.3205675,0
AL00,14,1991,144.2759444,0
AL00,14,1992,89.43785249,0
AL00,14,1993,218.0865102,0
AL00,14,1994,115.585912,0
AL00,14,1995,177.9924771,0
AL00,14,1996,180.316977,0
AL00,14,1997,51.86630186,0
AL00,14,1998,86.27731223,0
AL00,14,1999,177.976064,0
AL00,14,2000,97.57257637,0
AL00,14,2001,44.92562825,0
AL00,14,2002,127.55206,0
