zone,week,year,Cumulated inflow into reservoirs per week in GWh,Cumulated NATURAL inflow into the pump-storage reservoirs per week in GWh
AL00,2,2010,189.4580267343397,0
AL00,2,2011,183.4313555173585,0
AL00,2,2012,122.002393392,0
AL00,2,2013,138.312873792,0
AL00,2,2014,82.18943397033964,0
AL00,2,2015,130.8777566889057,0
AL00,2,2016,100.7197810109434,0
AL00,2,2017,119.1434431483019,0
AL00,3,1982,138.5139338019623,0
AL00,3,1983,113.5004272564529,0
AL00,3,1984,219.3451868886793,0
AL00,3,1985,178.0027352483774,0
AL00,3,1986,214.21097592,0
AL00,3,1987,216.7016580842264,0
AL00,3,1988,101.6419899341887,0
AL00,3,1989,91.80851414083021,0
AL00,3,1990,90.6349802051321,0
AL00,3,1991,93.88989557049058,0
AL00,3,1992,99.08052643992455,0
AL00,3,1993,79.2740638258868,0
AL00,3,1994,133.4094715082264,0
AL00,3,1995,166.7987687748679,0
AL00,3,1996,115.0771070284528,0
AL00,3,1997,132.4493073790189,0
AL00,3,1998,105.4016069572076,0
AL00,3,1999,116.9430670188679,0
AL00,3,2000,130.4930755473962,0
AL00,3,2001,137.8020172360755,0
AL00,3,2002,157.4248587185661,0
AL00,3,2003,217.3745936277736,0
AL00,3,2004,171.7329455499623,0
AL00,3,2005,133.6423318258868,0
AL00,3,2006,201.1328429250566,0
AL00,3,2007,77.79996569162266,0
AL00,3,2008,207.6498543704151,0
AL00,3,2009,153.5349630156227,0
AL00,3,2010,189.7955203224906,0
AL00,3,2011,165.4026326852831,0
AL00,3,2012,111.5390663429434,0
AL00,3,2013,154.5864248024151,0
AL00,3,2014,90.12617528196229,0
AL00,3,2015,119.2542313170566,0
AL00,3,2016,90.72320041358492,0
AL00,3,2017,124.4530687175095,0
AL00,4,1982,138.5077789036981,0
AL00,4,1983,119.6881516446793,0
AL00,4,1984,154.079671512,0
AL00,4,1985,168.5898441697359,0
AL00,4,1986,267.9093858255849,0
AL00,4,1987,168.6031797826415,0
AL00,4,1988,92.16344660739624,0
AL00,4,1989,102.8637372396227,0
AL00,4,1990,107.8656178956227,0
AL00,4,1991,88.28791233373586,0
AL00,4,1992,82.23456989094342,0
AL00,4,1993,132.2328601233963,0
AL00,4,1994,133.6033508035472,0
AL00,4,1995,113.0952297873962,0
AL00,4,1996,111.4375105215849,0
AL00,4,1997,149.0059837095849,0
AL00,4,1998,201.1554108853585,0
AL00,4,1999,134.1316462378868,0
AL00,4,2000,122.4055392283019,0
AL00,4,2001,183.2395278547925,0
AL00,4,2002,155.9692252790944,0
AL00,4,2003,229.6587447466415,0
AL00,4,2004,221.8174043581133,0
AL00,4,2005,122.5624891340377,0
AL00,4,2006,157.7131131206038,0
AL00,4,2007,128.0895877752453,0
AL00,4,2008,148.76491686090571,0
AL00,4,2009,150.8134721664906,0
AL00,4,2010,203.3137285433208,0
AL00,4,2011,182.8415111003774,0
AL00,4,2012,89.68917750520757,0
AL00,4,2013,140.745084422717,0
AL00,4,2014,88.62027684000002,0
AL00,4,2015,106.9526413197736,0
AL00,4,2016,143.9661478476227,0
AL00,4,2017,176.070097193434,0
AL00,5,1982,118.3812615799246,0
AL00,5,1983,99.71140351200002,0
AL00,5,1984,206.8374077995472,0
AL00,5,1985,179.8881857499623,0
AL00,5,1986,249.7698748247548,0
AL00,5,1987,143.9620445821132,0
AL00,5,1988,115.9357153363019,0
AL00,5,1989,102.6319027383396,0
AL00,5,1990,136.1012136824151,0
AL00,5,1991,79.48333036686795,0
AL00,5,1992,90.23593763433963,0
AL00,5,1993,113.9302443185661,0
AL00,5,1994,139.4556332363774,0
AL00,5,1995,159.8929729224906,0
AL00,5,1996,112.9946997824151,0
AL00,5,1997,128.6496835172831,0
AL00,5,1998,155.2255084055095,0
AL00,5,1999,137.9805092857359,0
AL00,5,2000,152.2137115215849,0
AL00,5,2001,300.8370657224152,0
AL00,5,2002,146.5450502203019,0
AL00,5,2003,259.9623863501887,0
AL00,5,2004,213.9565734584151,0
AL00,5,2005,173.5096595155472,0
AL00,5,2006,118.0919813615095,0
AL00,5,2007,99.31749002309435,0
AL00,5,2008,105.0230807139623,0
AL00,5,2009,156.443152445434,0
AL00,5,2010,155.4440072938868,0
AL00,5,2011,124.4335782063396,0
AL00,5,2012,110.1306204568302,0
AL00,5,2013,168.7396133608302,0
AL00,5,2014,91.9469993517736,0
AL00,5,2015,97.63515116422643,0
AL00,5,2016,177.7483327867925,0
AL00,5,2017,129.4539235571321,0
AL00,6,1982,121.9767479825661,0
AL00,6,1983,118.0468454409057,0
AL00,6,1984,190.5546244417359,0
AL00,6,1985,146.3552741904906,0
AL00,6,1986,219.959650898717,0
AL00,6,1987,112.8049237526038,0
AL00,6,1988,112.1525045366038,0
AL00,6,1989,99.07129409252832,0
AL00,6,1990,99.70524861373586,0
AL00,6,1991,125.1311333429434,0
AL00,6,1992,94.80492377909435,0
AL00,6,1993,106.2161051608302,0
AL00,6,1994,119.33834826,0
AL00,6,1995,103.7531200387925,0
AL00,6,1996,151.770558846566,0
